cat1,timestamp,num1,num2,num3,num4,num5,num6,num7
1,2022-07-01,-0.028107829607575643,-0.12522465776912525,-0.017826330167388913,-0.1421148524380502,4.863945131385429e-17,0.0,-0.015894776401564465
2,2022-07-01,0.018927480260946254,-0.12346381364226909,-0.017812894114319626,-0.124045836274243,-0.24484948772817983,-0.4843400693187532,-0.015894776401564423
3,2022-10-01,0.018412184293123423,1.878842532950446e-17,-0.01782274852246314,-0.13945100419332057,-0.2150410047095676,0.6311035533493708,-0.015894776401564545
4,2022-11-01,0.018927480260946254,-0.11339299373504085,-0.017821032923419727,-0.08108946842656078,-0.16463002429583867,0.0,-0.015894776401564503
5,2022-01-01,0.02171840879405071,1.878842532950446e-17,-3.152080069564889e-18,-0.14514481256080933,-0.2931325131752602,0.021932935422544302,-0.01589477640156388
6,2022-12-01,0.018645398548472848,0.08679941245156869,-0.01757655045429583,-0.14514481256080933,-0.22473739865284614,0.05520111985013511,-0.01589477640156435
7,2022-01-01,0.018717125965844125,1.878842532950446e-17,-3.152080069564889e-18,-0.14514481256080933,-0.2979868603057626,-0.44415925181796023,-2.2261531568697307e-18
8,2022-03-01,0.018701325852218495,1.878842532950446e-17,,-0.14514481256080933,-0.27581740939160077,-0.44415925181796023,-2.2261531568697307e-18
9,2023-01-01,0.018714940899093133,1.878842532950446e-17,-0.01764708913630827,-0.14514481256080933,-0.30260750139946546,-0.44415925181796023,-2.2261531568697307e-18
10,2023-02-01,0.01850581440340347,-0.11571702909824737,-0.01782531289138192,-0.14514481256080933,-0.28723210424160006,0.0,-0.01589477640156455
11,2023-03-01,0.01850581440340347,-0.11571702909824737,-0.01782512442283598,-0.14514481256080933,-0.28723210424160006,0.0,-0.015894776401564538
12,2023-02-01,0.021304780860627644,0.286082862585013,-0.017824465161376094,0.9936168609369427,4.863945131385429e-17,0.0,-0.015894776401564545
13,2023-03-01,0.017481668414673236,1.878842532950446e-17,-0.01782240033329047,0.9936168609369427,-0.12882540378387042,0.0,-0.01589477640156454
14,2022-09-01,-0.0016674606024259608,1.878842532950446e-17,-3.152080069564889e-18,0.0,4.863945131385429e-17,0.0,-2.2261531568697307e-18
15,2023-02-01,0.017751987184470467,-0.10940577537546316,-0.017826330167388913,-0.10657353122734861,4.863945131385429e-17,0.0,-0.01589477640156454
16,2023-03-01,0.019161854682689654,-0.12337983849781191,-0.017826330167388913,-0.08271562009631557,4.863945131385429e-17,0.0,-0.015894776401564524
17,2022-10-01,0.02322711934751302,-0.0829690984405346,-0.017826330167388913,-0.14514481256080933,4.863945131385429e-17,-0.06700122515222506,-2.2261531568697307e-18
18,2023-01-01,0.02322711934751302,1.878842532950446e-17,-3.152080069564889e-18,-0.14514481256080933,,-0.11079971464201015,-2.2261531568697307e-18
19,2020-01-01,0.01922376490730112,-0.12635594653870388,-0.017826330167388913,-0.14300963442300105,4.863945131385429e-17,-0.41498784095338404,-0.015894776401564552
20,2022-05-01,0.018716309167082446,-0.1267174631507582,-0.017824855290184898,-0.14514481256080933,4.863945131385429e-17,0.0,-2.2261531568697307e-18
